子问题,指标,值
Q1 子问 1 (waste),7年累计净利润(万元),1106.79
Q1 子问 2 (discount),7年累计净利润(万元),940.05
Q2 (蒙特卡洛),均值(n=500),953.8419295215989
Q2 (蒙特卡洛),CV,0.37155367114731847
Q3 (弹性+间作),均值(n=300),1224.0086317640698
Q3 (弹性+间作),CV,0.3019261139764895
Q3 vs Q2 提升,%,28.32405390041655
